customer_id,first_name,last_name,email,street,city,state,country
0,Jodi,Robinson,allison88@example.net,630 Kent Ridges,Lake Timothyshire,New Hampshire,Aruba
1,Kevin,Young,johnjones@example.com,1793 Denise Road Apt. 516,Espinozaview,Wisconsin,Eritrea
2,Glenn,Vazquez,leejacqueline@example.net,3268 Sheila Drive,East Carol,Utah,Sudan
3,Jordan,Rodgers,mclaughlinspencer@example.com,946 Sullivan Pass Suite 807,North Meghanville,Pennsylvania,Seychelles
4,Troy,Martin,fullersarah@example.org,694 Nelson Summit Apt. 953,Franciscoberg,Arizona,Jordan
5,Susan,Ross,anna41@example.org,850 Jeffrey Ridges,Patrickton,New Mexico,Azerbaijan
6,Donald,Ortiz,rebecca94@example.org,255 Ibarra Plains,New Sean,Rhode Island,Oman
7,Cody,Evans,sandra70@example.org,41706 Whitaker Terrace Apt. 098,Lake Williamburgh,Wyoming,New Zealand
8,Terri,Shelton,edwin69@example.org,2990 Wright Street,New Troystad,Nebraska,Antarctica (the territory South of 60 deg S)
9,Michael,Joyce,ethomas@example.net,81839 Swanson Locks Suite 889,Robertview,Tennessee,India
10,Kevin,Hart,elijah98@example.net,459 Jillian Springs,Yatesfurt,Missouri,Moldova
11,April,Bray,pking@example.net,63537 Lawson Loaf,Velasquezshire,North Carolina,Montenegro
12,Jeffery,Anderson,cameronjoseph@example.net,4405 Dunn Hollow Suite 506,Leblancmouth,Oregon,Mali
13,Shannon,Duran,laura96@example.com,7299 Christopher Island,Lake Kathleen,Wyoming,Brunei Darussalam
14,Jennifer,Beasley,edwardcox@example.com,326 William Squares Suite 934,Destinyside,Pennsylvania,Hong Kong
15,Megan,Navarro,chase97@example.net,8941 Marie Common Suite 805,Sherrichester,Iowa,Uruguay
16,Sheila,Benjamin,robert79@example.org,6379 Henderson Plains,Lake Elizabeth,Rhode Island,Norway
17,Theresa,Santos,mariemorse@example.org,9428 Solomon Drives,Simonfort,California,Angola
